¡marcarlo!,Lo que se dice a la persona con la pizarra para que chasquee los palos juntos.
Theme Music,"Música de apertura o cierre de una película, a menudo asociada con un personaje o situación."
Three-shot,Plano medio que contiene tres personas.
Tie-in,Comercialización relacionada con una película.
Tiempo Real,"El tiempo real es el tiempo real que tomaría para que ocurra un evento en realidad, en contraste con el tiempo fílmico (el tiempo puede acelerarse o ralentizarse). El tiempo real y el tiempo fílmico a menudo coinciden durante secuencias largas dentro de una película, ver también duración."
Tight On,Plano cerrado de un sujeto.
Tilt Shot,Cámara inclinada hacia arriba o hacia abajo en un ángulo diagonal a lo largo de un eje vertical.
Time Lapse,"Método de filmación donde los fotogramas se toman a una velocidad más lenta de lo normal, creando la ilusión de que la acción ocurre más rápido en el producto final."
Tint,Uso de color para teñir físicamente la película y lograr un estado de ánimo deseado.
Tipo De Emulsión,Composición de la emulsión de una película.
Tirar Del Sonido,Desfasar el sonido 26 fotogramas antes de la imagen al hacer una copia.
Title Role,Papel principal en una película nombrado después del título de la película.
Titles,Palabras que aparecen en la pantalla de la película y transmiten información.
Tix,Abreviatura de entradas.
Toma De Héroe,Primer plano de una persona que acaba de tener un logro importante.
Toma De Inserción,Primer plano de algún detalle en la escena.
Toma De Retroceso,Toma desde el otro lado de la toma anterior.
Toma Dolly,Toma donde la cámara se mueve en un dolly mientras se filma.
Toma En Movimiento,Toma donde la cámara se mueve en un dolly mientras se filma.
Toma Fija,Toma tomada con el trípode asegurado para que la cámara no se mueva.
Toma Maestra,Toma que incorpora toda la escena de principio a fin.
Toma Mate,Doble exposición que enmascara parte del cuadro para una exposición y el área opuesta para otra exposición.
Toma P.o.v.,Toma desde la perspectiva de uno de los personajes.
Tone,El estado de ánimo o atmósfera de una escena de una película.
Tono,Onda sinusoidal utilizada al principio de una cinta de audio para proporcionar volumen consistente.
Tono De Habitación,"Grabación del ""silencio"" de una ubicación para utilizarla al editar el sonido."
Toon,Abreviatura de dibujo animado.
Topline,Estelarizar una película o ser anunciado sobre el título de una película.
Topper,Jefe de una empresa u organización.
Torreta,Montaje giratorio que permite montar varias lentes en una cámara para un cambio rápido.
Tour De Force,Actuación increíblemente hábil y notable de un actor principal.
Tracking Shot (or Truck),Toma en la que la cámara se mueve junto al sujeto a través del espacio.
Trademark,"Toque personal o adorno de un actor, director, escritor o productor en una película."
Trades,Revistas y publicaciones profesionales que informan las noticias de la industria del entretenimiento.
Trailer,Anuncio breve de una película que muestra fragmentos de la misma.
Transition,Forma de moverse de una toma o escena a la siguiente.
Trash Film,"Película de bajo presupuesto y no comercial, a menudo excesivamente exagerada o vulgar."
Travelogue,Película que muestra escenas de lugares extranjeros y exóticos.
Treatment,"Resumen detallado de la historia de una película, a menudo utilizado para vender el proyecto."
Trilogy,Grupo de tres películas que componen una narrativa más amplia y están relacionadas en tema o argumento.
Triple Threat,"Persona que puede cantar, bailar y actuar habilidosamente."
Tubos De Extensión,Tubos metálicos que convierten una lente larga en una lente macro para tomas ultra cercanas.
Tubthump,Promocionar o llamar la atención sobre algo.
Tungsteno,Temperatura de color de la luz artificial.
Turnaround,Película o proyecto que ha sido abandonado por un estudio.
Twist Ending,Final de sorpresa en una película.
Two-fer,"Cupón que descuenta el precio de la entrada de una película para ""dos por uno""."
Two-hander,Película con solo dos personajes.
Two-reeler,Película de la era del cine mudo con una duración de poco más de 20 minutos.
Two-shot,"Plano medio o cercano de dos personas, a menudo en diálogo."
Typecasting,Asociar injustamente a un actor con un tipo particular de papel.
U-matic,"Formato de cinta magnética de 3/4 de pulgada, originalmente utilizado para grabación profesional."
Una Luz,Copia que muestra cómo se ven todas las tomas con las mismas luces de impresión.
Unbilled Role,Papel secundario para una estrella importante que no se menciona en la publicidad de la película.
Uncredited Role,Papel de una estrella que no se acredita en la película.
Underacting,"Actuación discreta, neutral y suave."
Undercranking,Reducción de la velocidad de fotogramas de una cámara para que la imagen proyectada aparezca en movimiento rápido.
Underexposed,"Película subexpuesta, con menos luz de la normal."
Underground Film,Película independiente y de bajo presupuesto.
Unions,Organizaciones que representan a profesionales de la industria cinematográfica.
Unreliable Narrator,Narrador cuya perspectiva puede ser poco confiable.
Unspool,Proyectar una película.
Utopia(n),Estado o lugar imaginario perfecto.
Vamp,Mujer seductora y maquinadora.
Vari Speed,Control para hacer funcionar una cámara a una velocidad más rápida o más lenta que la normal.
Variety,Periódico de la industria del entretenimiento conocido por sus titulares extravagantes.
Vaudeville,Espectáculo de variedades en un escenario.
Vcr,Grabadora de videocasetes.
Velocidad De La Película,Sensibilidad a la luz de un tipo de película.
Vertigo Effect,Técnica de cámara que combina un zoom y movimiento de seguimiento.
Video,Componente visual de una película o televisión.
Video Nasty,Película ultraviolenta considerada ofensiva.
Vigilante Film,Película en la que el protagonista toma la ley en sus propias manos.
Vignette,Escena de una película que puede funcionar independientemente.
Visual Effects,Efectos agregados a la imagen final de una película.
Voice-over (V.o.),Diálogo grabado que proviene de una voz fuera de la pantalla.
Vorkapich,Secuencia de montaje llamada así en honor al director de cine slavko vorkapich.
Walk-on,Papel menor con una breve aparición en la pantalla.
Walk-through,Primera práctica en el set para establecer la iluminación y sonido.
Walla Walla,Murmullo de fondo para simular conversaciones en una multitud.
Wardrobe,Departamento de vestuario o los propios trajes.
Weenie,Objeto que motiva la acción principal en una serie.
Whistleman,Persona que garantiza silencio en el set antes de filmar.
White (or Color) Balance,Ajuste electrónico del balance de blancos de una cámara.
Whodunit,Película de misterio o detective.
Whoop-whoops,Ruidos agregados a un sonido para hacerlo más interesante o emocionante.
Wide-angle Shot,Toma realizada con una lente que captura un campo más amplio de visión.
Widescreen,Sistema de proyección con una relación de aspecto más ancha que la estándar.
Wig-wag,Luz roja de advertencia en un set de filmación.
Wipe,Técnica de transición en la que una toma parece ser reemplazada por otra.
Word Of Mouth,Discusión pública o rumor acerca de una película.
Wrap,Conclusión del rodaje de una película.
Writer,Persona que escribe el contenido de una obra.
